Depth (ft),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8019,47.71948314,-75.32570548,10.33454561,3.308228338,2.322588374,0.175832638,0.213072208
8019.5,51.5516801,-73.57689672,10.32176967,3.267801875,2.290158247,0.175912501,0.214623214
8020,48.72144881,-71.04455663,10.7612273,3.237301234,2.271011167,0.175157318,0.213686853
8020.5,47.5597202,-71.65839966,11.498581,3.222438532,2.26440941,0.167313837,0.210183618
8021,45.59551459,-73.20230761,12.10370334,3.228745893,2.269686832,0.166353096,0.204549532
8021.5,48.58080355,-73.56118881,12.25960191,3.255872394,2.285212614,0.173051069,0.197962924
8022,52.15978612,-72.76707006,11.85927524,3.297198499,2.307431092,0.1735777,0.194497759
8022.5,52.09164455,-72.34385569,11.47150688,3.345540563,2.332520974,0.170021787,0.196240783
8023,51.07756314,-72.45566799,11.45093835,3.384483289,2.356515503,0.168847784,0.198612052
8023.5,50.79491302,-72.54406478,11.7255144,3.394467165,2.375287636,0.167770253,0.198529196
8024,45.19599093,-72.77300988,12.12575302,3.39051043,2.384659293,0.164491497,0.197796889
8024.5,45.72348663,-73.71459398,12.03303072,3.394837437,2.38433309,0.174254159,0.197669805
8025,49.81428471,-74.60550921,11.13806044,3.411994664,2.371022943,0.171397514,0.197770347
8025.5,49.58655523,-74.43197877,10.05618359,3.410135004,2.328107857,0.164412541,0.197789538
8026,51.07775448,-73.99845839,9.365092645,3.355907144,2.241917493,0.164210297,0.19763995
8026.5,53.60709665,-75.17419064,9.099692141,3.244865508,2.14799835,0.164213324,0.197245719
8027,50.13526746,-77.90775832,9.390118471,3.091731764,2.073353414,0.161741271,0.196481241
8027.5,45.3540678,-81.00981947,10.01625489,2.923281699,1.995724494,0.160029718,0.195013822
8028,42.82922326,-83.15278239,10.69238392,2.766524502,1.91502224,0.183183388,0.19245883
8028.5,37.68513632,-83.20937192,11.2207441,2.64058969,1.847831655,0.188564994,0.189107113
8029,33.45601102,-83.83942223,10.8228251,2.556777539,1.804236394,0.193193866,0.186910845
8029.5,33.44162124,-86.64660648,10.2546668,2.500970863,1.774033857,0.202304098,0.187806027
8030,33.98736905,-87.16772105,9.979560797,2.45204008,1.743033065,0.204484612,0.190665618
8030.5,34.30567174,-85.43719091,9.659347162,2.391076799,1.703745801,0.201714393,0.193777713
8031,35.32352713,-84.38860213,9.271729711,2.322181886,1.665449959,0.199224778,0.197355442
8031.5,36.45577082,-85.76203345,9.287163446,2.280857288,1.639199494,0.200946591,0.19956618
8032,36.82417287,-87.28792851,9.564849641,2.301781895,1.629599223,0.20665569,0.200538573
8032.5,36.00234856,-86.81078394,9.950409755,2.375355514,1.636280549,0.209140594,0.201313948
8033,33.93129606,-85.05134876,10.41904281,2.438513125,1.659178605,0.205213521,0.201809268
8033.5,31.55269549,-83.26379985,10.69467416,2.465326231,1.696881905,0.196294905,0.197842711
8034,32.17957035,-82.3751589,10.3787523,2.498876947,1.742079656,0.187254782,0.194096446
8034.5,34.27417,-82.27217311,10.18190028,2.537456616,1.785372367,0.181933874,0.194453787
8035,35.35032431,-82.54903269,9.980757745,2.567299743,1.813969526,0.182408282,0.195286303
8035.5,35.66304015,-82.4565484,9.535171876,2.584886555,1.814040304,0.186424533,0.196316701
8036,41.27186354,-81.80857689,9.207771066,2.591354478,1.789330736,0.188781711,0.200331394
