Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8091.5,35.55162969,-54.21481405,11.72361109,4.008345108,3.485414739,0.153821579,0.186200985
8092,41.378521,-52.29426432,9.577847166,4.095475525,3.391567181,0.149192721,0.189261892
8092.5,49.47235383,-49.54239064,7.340098184,4.060107682,3.150149899,0.135834705,0.209451367
8093,61.58821658,-45.07813421,6.220262633,3.830981514,2.719477893,0.120540402,0.258749142
8093.5,62.851415,-52.75145192,6.210763209,3.543906033,2.505013648,0.134948645,0.274672088
8094,62.66958925,-64.0602444,6.473893264,2.664936244,2.446287854,0.142979472,0.281597542
8094.5,55.17745683,-66.82797338,6.427587515,2.319627399,2.31534453,0.167020458,0.283559586
8095,48.55344167,-72.79083258,6.284557005,2.159301069,2.139082745,0.193949895,0.266946317
8095.5,43.45814397,-75.52135954,6.270983729,2.000616399,1.990499822,0.211049223,0.235590998
8096,41.7895044,-75.34377248,6.308986484,1.923919896,1.874870244,0.217067329,0.231395618
8096.5,44.55834112,-75.49375239,6.393716964,1.890680727,1.783624378,0.205761828,0.239982255
8097,46.8571871,-77.92682834,6.825657364,1.855254194,1.740736558,0.202113372,0.2438717
8097.5,47.1532294,-80.55332421,7.301394337,1.815115744,1.727158873,0.202766576,0.243328891
8098,45.61715047,-82.42975984,7.356480264,1.779083333,1.727498277,0.202253708,0.239710974
8098.5,43.23557698,-84.17690944,7.204334932,1.751691411,1.732188017,0.203281639,0.233128199
8099,41.44006604,-85.68923787,7.059535659,1.73420948,1.732080265,0.204785584,0.228545392
8099.5,41.17234206,-86.09115038,6.951529044,1.727893543,1.72629977,0.205398104,0.230138104
8100,41.46546751,-85.37679896,6.793335627,1.734174126,1.723600767,0.209731502,0.232972683
8100.5,41.14542627,-84.29484377,6.63334907,1.754759254,1.733255897,0.22089921,0.232619982
8101,40.31610233,-83.50980803,6.666189353,1.795315514,1.762282528,0.221862929,0.228590578
8101.5,39.44131181,-83.08491614,6.900706789,1.867557765,1.80787587,0.212722203,0.222342391
8102,38.82513506,-82.9516841,7.042870313,1.942525107,1.864376961,0.203935828,0.220005483
8102.5,38.76853519,-83.35960031,6.982870112,1.984317917,1.91263763,0.203661951,0.221003812
8103,39.54924965,-83.87370372,6.797750322,1.989041395,1.913026486,0.208305542,0.221321914
8103.5,40.78734415,-83.47784004,6.599204438,1.9618656,1.854461701,0.211076813,0.221692305
8104,41.36828135,-82.72552696,6.465529916,1.917663198,1.806224562,0.213548394,0.224743973
8104.5,40.35266189,-82.68026294,6.455117622,1.870962127,1.774793512,0.216608615,0.232361333
8105,38.51311558,-84.13072188,6.625023961,1.829469075,1.754511439,0.216781115,0.238121716
8105.5,37.04327061,-86.18854349,6.889842161,1.800090107,1.741112992,0.212798174,0.235047314
8106,36.37705943,-87.62891803,7.126434868,1.79140028,1.733992381,0.207761272,0.229535543
8106.5,36.8609433,-88.48590445,7.282466429,1.813378674,1.73345535,0.204942014,0.227402058
8107,38.43776901,-89.12620731,7.326815412,1.871956597,1.740173933,0.205289565,0.227667499
8107.5,40.13997057,-89.72899077,7.2883549,1.9356336,1.755805037,0.207710111,0.22842442
8108,40.71151491,-90.17825951,7.232968092,1.962666927,1.782316604,0.211861916,0.227920172
8108.5,39.18800749,-90.33209873,7.223464105,1.949919019,1.813111308,0.217309271,0.225953621
8109,37.32654566,-90.04883239,7.266235976,1.906857867,1.822026209,0.221348331,0.223218179
8109.5,36.3390213,-89.31892383,7.313606639,1.846953985,1.798923327,0.219810132,0.220473483
8110,34.2989842,-88.48413398,7.324998225,1.785137519,1.750588962,0.214440858,0.218829131
8110.5,33.56681517,-87.94395632,7.287440273,1.733376622,1.711864948,0.212727226,0.21951031
8111,35.24880591,-87.99715305,7.193733042,1.699660774,1.738032607,0.213385165,0.222273269
8111.5,37.44733793,-87.85095542,7.058328577,1.691359689,1.815404022,0.214158748,0.224451334
8112,38.26320958,-86.04436754,7.203095827,1.725510608,1.876845612,0.210518438,0.2212946
8112.5,37.37406868,-81.87144277,8.075786985,1.856594218,1.976592422,0.2040091,0.202615968
8113,35.94005329,-77.63782089,9.036226387,2.175092218,2.058688808,0.184792955,0.192344795
8113.5,35.19373597,-74.9046843,10.5252386,2.432189611,2.262271457,0.153367834,0.194008213
8114,36.45782255,-73.38904953,9.526481606,2.353515256,2.359151,0.163716115,0.208017544
8114.5,40.87301538,-72.83549586,7.933563263,2.312488576,2.190230599,0.184834855,0.225019096
8115,45.87754877,-73.15372004,6.063800792,2.122007366,2.044472824,0.201192632,0.237367477
8115.5,48.24084169,-74.51288247,5.561822168,1.949883759,1.96727388,0.208471515,0.243820944
8116,48.03967276,-77.29056381,5.196384784,1.706000614,1.744987811,0.214418922,0.245375514
8116.5,43.57874531,-81.12999267,5.283116499,1.491186413,1.517142837,0.219891618,0.244768651
8117,39.22622512,-84.62910117,5.510678788,1.475554362,1.36955358,0.224376756,0.243784043
8117.5,40.49380608,-86.48611361,5.569376461,1.459724324,1.312044738,0.227028685,0.24243261
8118,39.44350427,-85.41155388,5.88753502,1.422094407,1.334203317,0.225471528,0.240549513
8118.5,37.00305346,-81.62507291,5.739418537,1.428985199,1.436125932,0.217636174,0.238010137
8119,37.82239304,-78.7900933,5.554562199,1.491068749,1.575160072,0.206769254,0.235689314
8119.5,41.24914624,-77.26778845,5.228481398,1.623885365,1.647890702,0.198575997,0.234476906
8120,43.33571512,-74.38023584,5.345352251,1.913694757,1.77147363,0.194560174,0.229669435
8120.5,43.50258581,-68.32169638,5.68491887,2.415672786,2.25276091,0.187484062,0.216405106
8121,43.34937882,-62.7162709,7.351859977,2.830210343,2.528196874,0.173774919,0.204928951
8121.5,44.67983982,-58.64947815,7.856479844,3.013343704,2.724610716,0.157692193,0.197162431
8122,49.44770075,-54.26694035,7.96806733,3.036222363,3.142277326,0.14413843,0.198414767
8122.5,56.9015376,-48.65703285,7.306325276,2.995932173,3.245294147,0.135014992,0.241451712
8123,62.33669832,-45.86433491,4.446185512,2.852058166,2.852909558,0.133897853,0.267568161
8123.5,62.19029448,-48.82292018,3.937948961,2.496544399,2.274311391,0.158441017,0.279501963
8124,55.27095947,-57.27750788,4.361141021,2.095531027,2.110638048,0.196017691,0.275514272
8124.5,43.53570113,-63.16884745,4.624706108,1.780169487,1.766048469,0.232184422,0.266441244
8125,33.18099405,-78.67916061,4.823702344,1.562740516,1.431126387,0.248293164,0.242773514
8125.5,30.55476224,-90.49068648,4.892681642,1.394183937,1.380697526,0.250252723,0.231063315
8126,31.46758923,-89.3206941,4.833076361,1.293328473,1.315784448,0.245674968,0.231237506
8126.5,34.7458229,-84.32152706,4.727822212,1.291655724,1.222178374,0.229774169,0.237610164
8127,39.67236726,-80.83265126,4.536978459,1.301531678,1.195579279,0.214853602,0.244495365
