Depth (ft),GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7998,42.29522423,-48.77156846,18.72511142,11.80502542,17.00973227,0.194784377,0.234052586
7998.5,44.93911968,-48.6747553,18.09148256,11.76986213,17.17510574,0.190537813,0.238805159
7999,45.72024902,-48.5354394,18.15584416,11.82807697,17.14721669,0.188750398,0.244309851
7999.5,44.55133364,-48.36403762,18.77066238,11.92777921,16.90742813,0.191978869,0.248807791
8000,42.62137363,-48.30956709,19.53383956,12.01396391,16.44557691,0.2003811,0.250672676
8000.5,41.23403428,-48.11509979,20.06308483,12.02950864,15.79142928,0.210300181,0.24988896
8001,39.55168403,-47.26638685,20.6316314,11.91706345,15.06494782,0.218284283,0.247513787
8001.5,39.78788114,-47.07533774,21.61524293,11.62615679,14.38543516,0.22253603,0.244145715
8002,42.62996914,-45.00324388,21.13832664,11.18096526,13.85233132,0.221637867,0.239235811
8002.5,42.98814145,-42.49272713,17.48365236,10.68851268,13.5163997,0.215415268,0.23584738
8003,42.78026498,-40.12508495,15.46373985,10.2466977,13.23150142,0.205067148,0.237063319
8003.5,43.79411503,-36.28104014,14.6836387,9.939479076,12.81090529,0.193047129,0.239645042
8004,46.1726312,-32.90644042,13.71430384,9.845046411,12.25870114,0.181548846,0.240078458
8004.5,50.2026447,-30.64683476,13.02643372,9.992767033,11.70678296,0.170868996,0.23870329
8005,52.83763799,-29.50763007,13.59442408,10.23030742,11.26974427,0.163375354,0.237823911
8005.5,50.08026549,-28.80005339,15.58489619,10.46063722,11.04660573,0.165078985,0.237059751
8006,47.77154093,-27.89644599,18.38088099,10.86456077,11.13619574,0.172364796,0.233655521
8006.5,45.18749572,-27.29515272,21.68074263,11.6123479,11.63837634,0.178638409,0.228284829
8007,42.16521401,-27.11682157,24.9875766,12.32170882,12.07603949,0.180552371,0.223403621
8007.5,42.35478787,-25.24740682,26.08599965,12.29213633,11.40362258,0.174938713,0.218433907
8008,45.07318522,-21.72975863,23.94158569,10.61060502,10.3811097,0.160772459,0.214450528
8008.5,12.45670106,-18.83316944,20.6724306,7.99192028,9.890590951,0.145042831,0.214640586
8009,56.6437059,-15.79218475,17.63955818,7.070034082,9.579807148,0.122609963,0.220400094
8009.5,89.1149736,-11.83582083,14.54987439,7.110479043,9.133670276,0.102476341,0.230376571
8010,86.1207887,-7.986091296,10.92766104,7.500017788,8.559209183,0.099518128,0.242388189
8010.5,90.8532569,-5.600756366,7.830079882,7.654128785,7.996213085,0.104104659,0.253844877
8011,88.91243855,-4.556356929,7.528917642,7.293482463,7.554658565,0.105906764,0.261572462
8011.5,85.03146229,-4.382277875,7.408216192,7.090831469,7.296419135,0.104759212,0.262359028
8012,76.81010367,-4.870022045,8.728490937,7.041280808,7.15325519,0.101907206,0.25511159
8012.5,70.28286168,-5.93241935,10.25424297,6.902239608,7.028898508,0.098436694,0.243784742
8013,67.64066122,-7.375598905,11.00289914,6.653466046,6.847760475,0.095283621,0.232962853
8013.5,63.3543817,-8.456982389,11.17592598,6.419971854,6.615405323,0.092210375,0.22593854
8014,65.25826819,-8.344761153,10.39981625,6.28596304,6.36430935,0.089293075,0.225218721
8014.5,87.69426179,-7.161543251,8.704516315,6.199765414,6.123168853,0.087283086,0.233324605
8015,91.70341073,-5.414906883,7.39641264,6.077670006,5.916355325,0.086192328,0.247447201
