Depth (ft),GR (GAPI),SP (MV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8064,51.8219537,-87.05507816,6.572215522,1.445942348,1.472337561,0.211854611,0.188440236
8064.5,49.41900512,-89.00055406,6.407498981,1.384111537,1.37021823,0.211578662,0.18858015
8065,46.74315223,-90.96503709,6.324943366,1.352495987,1.300969237,0.213321293,0.189365032
8065.5,43.05680539,-92.18711178,6.377693602,1.346381561,1.255718611,0.214105893,0.189547519
8066,40.26349684,-92.66095576,6.505138175,1.3626459,1.226344928,0.211564945,0.187646919
8066.5,39.35542272,-92.98507776,6.612412673,1.397555704,1.206093992,0.21036403,0.183792189
8067,39.7984416,-93.28312657,6.637585611,1.428690656,1.191578065,0.212009214,0.180813935
8067.5,40.65834176,-93.4723231,6.598736776,1.425472363,1.18516634,0.215680797,0.180628117
8068,42.20720217,-93.58741192,6.523662944,1.391185209,1.1887439,0.220394914,0.18350977
8068.5,44.66575828,-93.60630703,6.431117757,1.342991218,1.198365706,0.224343482,0.187977581
8069,46.52200462,-93.45967715,6.336526449,1.296845293,1.208268425,0.226555936,0.190854775
8069.5,45.68076273,-93.14278037,6.254483575,1.266760897,1.213129202,0.227507045,0.189544602
8070,43.50993453,-92.76021778,6.198871675,1.265515315,1.213035936,0.22772235,0.185745577
8070.5,42.58242903,-92.39915021,6.183301056,1.294382133,1.211039883,0.227314077,0.182761282
8071,42.91094785,-92.04131691,6.220609718,1.337816884,1.210224869,0.226051345,0.181698528
8071.5,43.6797002,-91.64342917,6.300390997,1.377599816,1.212291558,0.223601002,0.181726846
8072,44.10311471,-91.19898496,6.389914099,1.398735902,1.214594989,0.21962737,0.181949644
8072.5,44.60066296,-90.86573074,6.454019148,1.398909654,1.213617988,0.214149535,0.181520116
8073,45.90889719,-90.84723611,6.466296581,1.381562827,1.205974222,0.209891456,0.18003377
